Station,Date,Q_cfs,Q_cd
4193500,6/26/75,7400,A
4193500,6/27/75,8990,A
4193500,6/28/75,7560,A
4193500,6/29/75,5190,A
4193500,6/30/75,3570,A
4193500,7/1/75,2650,A
4193500,7/2/75,2140,A
4193500,7/3/75,1790,A
4193500,7/4/75,3170,A
4193500,7/5/75,4780,A
4193500,7/6/75,3600,A
4193500,7/7/75,3410,A
4193500,7/8/75,3020,A
4193500,7/9/75,2340,A
4193500,7/10/75,2150,A
4193500,7/11/75,1580,A
4193500,7/12/75,1230,A
4193500,7/13/75,1420,A
4193500,7/14/75,1460,A
4193500,7/15/75,1080,A
4193500,7/16/75,1030,A
4193500,7/17/75,937,A
4193500,7/18/75,1000,A
4193500,7/19/75,3940,A
4193500,7/20/75,6590,A
4193500,7/21/75,4730,A
4193500,7/22/75,3020,A
4193500,7/23/75,1730,A
4193500,7/24/75,1400,A
4193500,7/25/75,1170,A
4193500,7/26/75,1060,A
4193500,7/27/75,1100,A
4193500,7/28/75,798,A
4193500,7/29/75,620,A
4193500,7/30/75,504,A
4193500,7/31/75,473,A
4193500,8/1/75,462,A
4193500,8/2/75,423,A
4193500,8/3/75,666,A
4193500,8/4/75,2160,A
4193500,8/5/75,1740,A
4193500,8/6/75,1920,A
4193500,8/7/75,1950,A
4193500,8/8/75,1390,A
4193500,8/9/75,1070,A
4193500,8/10/75,879,A
4193500,8/11/75,816,A
4193500,8/12/75,662,A
4193500,8/13/75,554,A
4193500,8/14/75,442,A
4193500,8/15/75,786,A
4193500,8/16/75,2390,A
4193500,8/17/75,3240,A
4193500,8/18/75,2800,A
4193500,8/19/75,2030,A
4193500,8/20/75,1330,A
4193500,8/21/75,1140,A
4193500,8/22/75,2250,A
4193500,8/23/75,5690,A
4193500,8/24/75,5320,A
4193500,8/25/75,3570,A
4193500,8/26/75,3450,A
4193500,8/27/75,4160,A
4193500,8/28/75,4540,A
4193500,8/29/75,3970,A
4193500,8/30/75,3120,A
4193500,8/31/75,5480,A
4193500,9/1/75,5020,A
4193500,9/2/75,3830,A
4193500,9/3/75,2940,A
4193500,9/4/75,2630,A
4193500,9/5/75,2850,A
4193500,9/6/75,6130,A
4193500,9/7/75,8250,A
4193500,9/8/75,6120,A
4193500,9/9/75,4060,A
4193500,9/10/75,2830,A
4193500,9/11/75,2150,A
4193500,9/12/75,3660,A
4193500,9/13/75,6200,A
4193500,9/14/75,5680,A
4193500,9/15/75,4280,A
4193500,9/16/75,2950,A
4193500,9/17/75,2140,A
4193500,9/18/75,1830,A
4193500,9/19/75,1670,A
4193500,9/20/75,1800,A
4193500,9/21/75,1930,A
4193500,9/22/75,1940,A
4193500,9/23/75,1840,A
4193500,9/24/75,1290,A
4193500,9/25/75,1500,A
4193500,9/26/75,1290,A
4193500,9/27/75,1150,A
4193500,9/28/75,930,A
4193500,9/29/75,825,A
4193500,9/30/75,807,A
4193500,10/1/75,709,A
4193500,10/2/75,662,A
4193500,10/3/75,662,A
4193500,10/4/75,617,A
4193500,10/5/75,617,A
4193500,10/6/75,603,A
4193500,10/7/75,462,A
4193500,10/8/75,509,A
4193500,10/9/75,742,A
4193500,10/10/75,775,A
4193500,10/11/75,792,A
4193500,10/12/75,792,A
4193500,10/13/75,758,A
4193500,10/14/75,725,A
4193500,10/15/75,632,A
4193500,10/16/75,526,A
4193500,10/17/75,462,A
4193500,10/18/75,647,A
4193500,10/19/75,2020,A
4193500,10/20/75,4720,A
4193500,10/21/75,5430,A
4193500,10/22/75,4820,A
4193500,10/23/75,3720,A
4193500,10/24/75,2790,A
4193500,10/25/75,2360,A
4193500,10/26/75,1830,A
4193500,10/27/75,1720,A
4193500,10/28/75,1430,A
4193500,10/29/75,1200,A
4193500,10/30/75,1100,A
4193500,10/31/75,1020,A
4193500,11/1/75,1020,A
4193500,11/2/75,915,A
4193500,11/3/75,950,A
4193500,11/4/75,2850,A
4193500,11/5/75,1280,A
4193500,11/6/75,880,A
4193500,11/7/75,968,A
4193500,11/8/75,950,A
4193500,11/9/75,950,A
4193500,11/10/75,1970,A
4193500,11/11/75,1430,A
4193500,11/12/75,2290,A
4193500,11/13/75,2090,A
4193500,11/14/75,2040,A
4193500,11/15/75,1900,A
4193500,11/16/75,1790,A
4193500,11/17/75,1570,A
4193500,11/18/75,1300,A
4193500,11/19/75,1180,A
4193500,11/20/75,1120,A
4193500,11/21/75,1220,A
4193500,11/22/75,950,A
4193500,11/23/75,986,A
4193500,11/24/75,1020,A
4193500,11/25/75,1140,A
4193500,11/26/75,915,A
4193500,11/27/75,1220,A
4193500,11/28/75,1020,A
4193500,11/29/75,1220,A
4193500,11/30/75,6780,A
4193500,12/1/75,12100,A
4193500,12/2/75,13700,A
4193500,12/3/75,10500,A
4193500,12/4/75,7600,A
4193500,12/5/75,6410,A
4193500,12/6/75,6010,A
4193500,12/7/75,8220,A
4193500,12/8/75,8300,A
4193500,12/9/75,6820,A
4193500,12/10/75,5680,A
4193500,12/11/75,4650,A
4193500,12/12/75,4140,A
4193500,12/13/75,3900,A
4193500,12/14/75,3960,A
4193500,12/15/75,12300,A
4193500,12/16/75,30700,A
4193500,12/17/75,29200,A
4193500,12/18/75,21000,A
4193500,12/19/75,13000,A
4193500,12/20/75,9570,A
4193500,12/21/75,7280,A
4193500,12/22/75,5900,A
4193500,12/23/75,4750,A
4193500,12/24/75,4200,A
4193500,12/25/75,3200,A
4193500,12/26/75,2600,A
4193500,12/27/75,2300,A
4193500,12/28/75,2100,A
4193500,12/29/75,2000,A
4193500,12/30/75,1900,A
4193500,12/31/75,2930,A
4193500,1/1/76,5120,A
4193500,1/2/76,7440,A
4193500,1/3/76,7970,A
4193500,1/4/76,7600,A
4193500,1/5/76,7050,A
4193500,1/6/76,4000,A
4193500,1/7/76,3400,A
4193500,1/8/76,2900,A
4193500,1/9/76,2500,A
4193500,1/10/76,2200,A
4193500,1/11/76,2100,A
4193500,1/12/76,2000,A
4193500,1/13/76,1900,A
4193500,1/14/76,2000,A
4193500,1/15/76,2400,A
4193500,1/16/76,3000,A
4193500,1/17/76,3600,A
4193500,1/18/76,3000,A
4193500,1/19/76,2400,A
4193500,1/20/76,2200,A
4193500,1/21/76,2000,A
4193500,1/22/76,1800,A
4193500,1/23/76,1700,A
4193500,1/24/76,1600,A
4193500,1/25/76,1500,A
4193500,1/26/76,2500,A
4193500,1/27/76,9710,A
4193500,1/28/76,16300,A
4193500,1/29/76,16200,A
4193500,1/30/76,13600,A
4193500,1/31/76,10500,A
4193500,2/1/76,7000,A
4193500,2/2/76,5400,A
4193500,2/3/76,3600,A
4193500,2/4/76,2800,A
4193500,2/5/76,2200,A
4193500,2/6/76,1600,A
4193500,2/7/76,1200,A
4193500,2/8/76,1100,A
4193500,2/9/76,1200,A
4193500,2/10/76,1500,A
4193500,2/11/76,9210,A
4193500,2/12/76,22700,A
4193500,2/13/76,32300,A
4193500,2/14/76,49800,A
4193500,2/15/76,43700,A
4193500,2/16/76,46800,A
4193500,2/17/76,62600,A
4193500,2/18/76,67200,A
4193500,2/19/76,68500,A
4193500,2/20/76,64500,A
4193500,2/21/76,64000,A
4193500,2/22/76,66000,A
4193500,2/23/76,68000,A
4193500,2/24/76,62000,A
4193500,2/25/76,44000,A
4193500,2/26/76,28000,A
4193500,2/27/76,18000,A
4193500,2/28/76,14000,A
4193500,2/29/76,11000,A
4193500,3/1/76,9000,A
4193500,3/2/76,9660,A
4193500,3/3/76,12000,A
4193500,3/4/76,26100,A
4193500,3/5/76,45900,A
4193500,3/6/76,51200,A
4193500,3/7/76,44800,A
4193500,3/8/76,32300,A
4193500,3/9/76,24100,A
4193500,3/10/76,18800,A
4193500,3/11/76,14000,A
4193500,3/12/76,10700,A
4193500,3/13/76,9080,A
4193500,3/14/76,8050,A
4193500,3/15/76,6780,A
4193500,3/16/76,5970,A
4193500,3/17/76,5090,A
4193500,3/18/76,4650,A
4193500,3/19/76,4460,A
4193500,3/20/76,4200,A
4193500,3/21/76,4520,A
4193500,3/22/76,4520,A
4193500,3/23/76,5220,A
4193500,3/24/76,4880,A
4193500,3/25/76,4110,A
4193500,3/26/76,4050,A
4193500,3/27/76,4330,A
4193500,3/28/76,4270,A
4193500,3/29/76,4920,A
4193500,3/30/76,5020,A
4193500,3/31/76,4330,A
4193500,4/1/76,3960,A
4193500,4/2/76,3440,A
4193500,4/3/76,3260,A
4193500,4/4/76,2990,A
4193500,4/5/76,2960,A
4193500,4/6/76,2710,A
4193500,4/7/76,2470,A
4193500,4/8/76,2160,A
4193500,4/9/76,2110,A
4193500,4/10/76,1830,A
4193500,4/11/76,1280,A
4193500,4/12/76,1430,A
4193500,4/13/76,1280,A
4193500,4/14/76,1300,A
4193500,4/15/76,1280,A
4193500,4/16/76,1240,A
4193500,4/17/76,1220,A
4193500,4/18/76,1410,A
4193500,4/19/76,1430,A
4193500,4/20/76,1180,A
4193500,4/21/76,1550,A
4193500,4/22/76,1790,A
4193500,4/23/76,1390,A
4193500,4/24/76,1650,A
4193500,4/25/76,3050,A
4193500,4/26/76,8990,A
4193500,4/27/76,11200,A
4193500,4/28/76,8220,A
4193500,4/29/76,6710,A
4193500,4/30/76,5290,A
4193500,5/1/76,4460,A
4193500,5/2/76,4140,A
4193500,5/3/76,3260,A
4193500,5/4/76,2550,A
4193500,5/5/76,2570,A
4193500,5/6/76,1740,A
4193500,5/7/76,2760,A
4193500,5/8/76,4780,A
4193500,5/9/76,6410,A
4193500,5/10/76,5360,A
4193500,5/11/76,4390,A
4193500,5/12/76,3750,A
4193500,5/13/76,3140,A
4193500,5/14/76,2910,A
4193500,5/15/76,2190,A
4193500,5/16/76,2550,A
4193500,5/17/76,2910,A
4193500,5/18/76,4140,A
4193500,5/19/76,3470,A
4193500,5/20/76,2960,A
4193500,5/21/76,2470,A
4193500,5/22/76,2060,A
4193500,5/23/76,1830,A
4193500,5/24/76,1600,A
4193500,5/25/76,1410,A
4193500,5/26/76,1350,A
4193500,5/27/76,1120,A
4193500,5/28/76,1160,A
4193500,5/29/76,1140,A
4193500,5/30/76,1080,A
4193500,5/31/76,1280,A
4193500,6/1/76,1600,A
4193500,6/2/76,2550,A
4193500,6/3/76,4880,A
4193500,6/4/76,5650,A
4193500,6/5/76,4200,A
4193500,6/6/76,2910,A
4193500,6/7/76,2190,A
4193500,6/8/76,1810,A
4193500,6/9/76,1570,A
4193500,6/10/76,1410,A
4193500,6/11/76,1100,A
4193500,6/12/76,725,A
4193500,6/13/76,862,A
4193500,6/14/76,742,A
4193500,6/15/76,709,A
4193500,6/16/76,603,A
4193500,6/17/76,478,A
4193500,6/18/76,526,A
4193500,6/19/76,809,A
4193500,6/20/76,742,A
4193500,6/21/76,862,A
4193500,6/22/76,1100,A
4193500,6/23/76,1080,A
4193500,6/24/76,1160,A
4193500,6/25/76,1430,A
4193500,6/26/76,1570,A
4193500,6/27/76,2520,A
4193500,6/28/76,2710,A
4193500,6/29/76,2760,A
4193500,6/30/76,2520,A
4193500,7/1/76,2060,A
4193500,7/2/76,1990,A
4193500,7/3/76,1790,A
4193500,7/4/76,1600,A
4193500,7/5/76,1600,A
4193500,7/6/76,1350,A
4193500,7/7/76,1140,A
4193500,7/8/76,950,A
4193500,7/9/76,915,A
4193500,7/10/76,1040,A
4193500,7/11/76,1100,A
4193500,7/12/76,742,A
4193500,7/13/76,678,A
4193500,7/14/76,678,A
4193500,7/15/76,617,A
4193500,7/16/76,632,A
4193500,7/17/76,462,A
4193500,7/18/76,447,A
4193500,7/19/76,418,A
4193500,7/20/76,418,A
4193500,7/21/76,574,A
4193500,7/22/76,526,A
4193500,7/23/76,950,A
4193500,7/24/76,1320,A
4193500,7/25/76,1670,A
4193500,7/26/76,1620,A
4193500,7/27/76,1500,A
4193500,7/28/76,1220,A
4193500,7/29/76,1180,A
4193500,7/30/76,880,A
4193500,7/31/76,1060,A
4193500,8/1/76,826,A
4193500,8/2/76,678,A
4193500,8/3/76,617,A
4193500,8/4/76,647,A
4193500,8/5/76,478,A
4193500,8/6/76,462,A
4193500,8/7/76,509,A
4193500,8/8/76,418,A
4193500,8/9/76,678,A
4193500,8/10/76,543,A
4193500,8/11/76,543,A
4193500,8/12/76,588,A
4193500,8/13/76,543,A
4193500,8/14/76,588,A
4193500,8/15/76,543,A
4193500,8/16/76,826,A
4193500,8/17/76,1200,A
4193500,8/18/76,932,A
4193500,8/19/76,725,A
4193500,8/20/76,632,A
4193500,8/21/76,543,A
4193500,8/22/76,509,A
4193500,8/23/76,509,A
4193500,8/24/76,351,A
4193500,8/25/76,326,A
4193500,8/26/76,302,A
4193500,8/27/76,314,A
4193500,8/28/76,268,A
4193500,8/29/76,280,A
4193500,8/30/76,215,A
4193500,8/31/76,196,A
4193500,9/1/76,205,A
4193500,9/2/76,146,A
4193500,9/3/76,170,A
4193500,9/4/76,215,A
4193500,9/5/76,187,A
4193500,9/6/76,100,A
4193500,9/7/76,161,A
4193500,9/8/76,196,A
4193500,9/9/76,196,A
4193500,9/10/76,363,A
4193500,9/11/76,257,A
4193500,9/12/76,187,A
4193500,9/13/76,291,A
4193500,9/14/76,338,A
4193500,9/15/76,235,A
4193500,9/16/76,257,A
4193500,9/17/76,432,A
4193500,9/18/76,363,A
4193500,9/19/76,291,A
4193500,9/20/76,326,A
4193500,9/21/76,351,A
4193500,9/22/76,280,A
4193500,9/23/76,302,A
4193500,9/24/76,178,A
4193500,9/25/76,205,A
4193500,9/26/76,302,A
4193500,9/27/76,462,A
4193500,9/28/76,390,A
4193500,9/29/76,603,A
4193500,9/30/76,662,A
4193500,10/1/76,433,A
4193500,10/2/76,295,A
4193500,10/3/76,280,A
4193500,10/4/76,284,A
4193500,10/5/76,310,A
4193500,10/6/76,481,A
4193500,10/7/76,535,A
4193500,10/8/76,426,A
4193500,10/9/76,636,A
4193500,10/10/76,615,A
4193500,10/11/76,523,A
4193500,10/12/76,463,A
4193500,10/13/76,517,A
4193500,10/14/76,295,A
4193500,10/15/76,380,A
4193500,10/16/76,216,A
4193500,10/17/76,137,A
4193500,10/18/76,203,A
4193500,10/19/76,195,A
4193500,10/20/76,752,A
4193500,10/21/76,875,A
4193500,10/22/76,419,A
4193500,10/23/76,216,A
4193500,10/24/76,327,A
4193500,10/25/76,380,A
4193500,10/26/76,363,A
4193500,10/27/76,500,A
4193500,10/28/76,2680,A
4193500,10/29/76,1160,A
4193500,10/30/76,476,A
4193500,10/31/76,493,A
4193500,11/1/76,397,A
4193500,11/2/76,446,A
4193500,11/3/76,407,A
4193500,11/4/76,317,A
4193500,11/5/76,348,A
4193500,11/6/76,398,A
4193500,11/7/76,286,A
4193500,11/8/76,306,A
4193500,11/9/76,314,A
4193500,11/10/76,248,A
4193500,11/11/76,229,A
4193500,11/12/76,255,A
4193500,11/13/76,331,A
4193500,11/14/76,220,A
4193500,11/15/76,201,A
4193500,11/16/76,231,A
4193500,11/17/76,277,A
4193500,11/18/76,1100,A
4193500,11/19/76,754,A
4193500,11/20/76,409,A
4193500,11/21/76,325,A
4193500,11/22/76,433,A
4193500,11/23/76,320,A
4193500,11/24/76,148,A
4193500,11/25/76,185,A
4193500,11/26/76,328,A
4193500,11/27/76,419,A
4193500,11/28/76,215,A
4193500,11/29/76,468,A
4193500,11/30/76,396,A
4193500,12/1/76,250,A
4193500,12/2/76,720,A
4193500,12/3/76,650,A
4193500,12/4/76,550,A
4193500,12/5/76,480,A
4193500,12/6/76,420,A
4193500,12/7/76,360,A
4193500,12/8/76,330,A
4193500,12/9/76,310,A
4193500,12/10/76,290,A
4193500,12/11/76,270,A
4193500,12/12/76,250,A
4193500,12/13/76,220,A
4193500,12/14/76,200,A
4193500,12/15/76,190,A
4193500,12/16/76,180,A
4193500,12/17/76,170,A
4193500,12/18/76,160,A
4193500,12/19/76,150,A
4193500,12/20/76,200,A
4193500,12/21/76,300,A
4193500,12/22/76,900,A
4193500,12/23/76,780,A
4193500,12/24/76,700,A
4193500,12/25/76,620,A
4193500,12/26/76,560,A
4193500,12/27/76,1500,A
4193500,12/28/76,1200,A
4193500,12/29/76,1000,A
4193500,12/30/76,900,A
4193500,12/31/76,800,A
4193500,1/1/77,700,A
4193500,1/2/77,620,A
4193500,1/3/77,560,A
4193500,1/4/77,500,A
4193500,1/5/77,460,A
4193500,1/6/77,430,A
4193500,1/7/77,400,A
4193500,1/8/77,370,A
4193500,1/9/77,340,A
4193500,1/10/77,320,A
4193500,1/11/77,300,A
4193500,1/12/77,290,A
4193500,1/13/77,280,A
4193500,1/14/77,270,A
4193500,1/15/77,280,A
4193500,1/16/77,270,A
4193500,1/17/77,260,A
4193500,1/18/77,250,A
4193500,1/19/77,240,A
4193500,1/20/77,240,A
4193500,1/21/77,230,A
4193500,1/22/77,230,A
4193500,1/23/77,230,A
4193500,1/24/77,230,A
4193500,1/25/77,230,A
4193500,1/26/77,230,A
4193500,1/27/77,230,A
4193500,1/28/77,220,A
4193500,1/29/77,220,A
4193500,1/30/77,230,A
4193500,1/31/77,230,A
4193500,2/1/77,220,A
4193500,2/2/77,220,A
4193500,2/3/77,210,A
4193500,2/4/77,210,A
4193500,2/5/77,200,A
4193500,2/6/77,200,A
4193500,2/7/77,200,A
4193500,2/8/77,200,A
4193500,2/9/77,210,A
4193500,2/10/77,230,A
4193500,2/11/77,350,A
4193500,2/12/77,800,A
4193500,2/13/77,1400,A
4193500,2/14/77,1700,A
4193500,2/15/77,1500,A
4193500,2/16/77,1300,A
4193500,2/17/77,1100,A
4193500,2/18/77,1000,A
4193500,2/19/77,920,A
4193500,2/20/77,880,A
4193500,2/21/77,860,A
4193500,2/22/77,860,A
4193500,2/23/77,1000,A
4193500,2/24/77,2200,A
4193500,2/25/77,3500,A
4193500,2/26/77,5000,A
4193500,2/27/77,7000,A
4193500,2/28/77,11000,A
4193500,3/1/77,14000,A
4193500,3/2/77,12000,A
4193500,3/3/77,9500,A
4193500,3/4/77,13000,A
4193500,3/5/77,26800,A
4193500,3/6/77,34300,A
4193500,3/7/77,25600,A
4193500,3/8/77,18600,A
4193500,3/9/77,14200,A
4193500,3/10/77,10400,A
4193500,3/11/77,10200,A
4193500,3/12/77,9170,A
4193500,3/13/77,8340,A
4193500,3/14/77,7200,A
4193500,3/15/77,6460,A
4193500,3/16/77,5680,A
4193500,3/17/77,4490,A
4193500,3/18/77,4650,A
4193500,3/19/77,12800,A
4193500,3/20/77,20000,A
4193500,3/21/77,16300,A
4193500,3/22/77,13300,A
4193500,3/23/77,9430,A
4193500,3/24/77,8970,A
4193500,3/25/77,14000,A
4193500,3/26/77,14400,A
4193500,3/27/77,12400,A
4193500,3/28/77,14600,A
4193500,3/29/77,23500,A
4193500,3/30/77,20000,A
4193500,3/31/77,16000,A
4193500,4/1/77,13000,A
4193500,4/2/77,14000,A
4193500,4/3/77,17000,A
4193500,4/4/77,15000,A
4193500,4/5/77,13000,A
4193500,4/6/77,12000,A
4193500,4/7/77,10000,A
4193500,4/8/77,8800,A
4193500,4/9/77,7000,A
4193500,4/10/77,5400,A
4193500,4/11/77,4000,A
4193500,4/12/77,3300,A
4193500,4/13/77,2880,A
4193500,4/14/77,2570,A
4193500,4/15/77,2610,A
4193500,4/16/77,2340,A
4193500,4/17/77,2240,A
4193500,4/18/77,1860,A
4193500,4/19/77,1870,A
4193500,4/20/77,2080,A
4193500,4/21/77,1960,A
4193500,4/22/77,2070,A
4193500,4/23/77,24100,A
4193500,4/24/77,56200,A
4193500,4/25/77,48800,A
4193500,4/26/77,32900,A
4193500,4/27/77,20700,A
4193500,4/28/77,13200,A
4193500,4/29/77,8170,A
4193500,4/30/77,7980,A
4193500,5/1/77,6680,A
4193500,5/2/77,5820,A
4193500,5/3/77,9630,A
4193500,5/4/77,13200,A
4193500,5/5/77,22300,A
4193500,5/6/77,21000,A
4193500,5/7/77,15400,A
4193500,5/8/77,10700,A
4193500,5/9/77,7130,A
4193500,5/10/77,4960,A
4193500,5/11/77,4290,A
4193500,5/12/77,3530,A
4193500,5/13/77,2900,A
4193500,5/14/77,2050,A
4193500,5/15/77,2140,A
4193500,5/16/77,1730,A
4193500,5/17/77,1520,A
4193500,5/18/77,1590,A
4193500,5/19/77,1160,A
4193500,5/20/77,1210,A
4193500,5/21/77,1050,A
4193500,5/22/77,1020,A
4193500,5/23/77,988,A
4193500,5/24/77,913,A
4193500,5/25/77,889,A
4193500,5/26/77,750,A
4193500,5/27/77,829,A
4193500,5/28/77,845,A
4193500,5/29/77,579,A
4193500,5/30/77,632,A
4193500,5/31/77,675,A
4193500,6/1/77,702,A
4193500,6/2/77,440,A
4193500,6/3/77,375,A
4193500,6/4/77,448,A
4193500,6/5/77,481,A
4193500,6/6/77,476,A
4193500,6/7/77,353,A
4193500,6/8/77,354,A
4193500,6/9/77,550,A
4193500,6/10/77,658,A
4193500,6/11/77,673,A
4193500,6/12/77,880,A
4193500,6/13/77,874,A
4193500,6/14/77,966,A
4193500,6/15/77,864,A
4193500,6/16/77,797,A
4193500,6/17/77,852,A
4193500,6/18/77,1100,A
4193500,6/19/77,998,A
4193500,6/20/77,810,A
4193500,6/21/77,581,A
4193500,6/22/77,579,A
4193500,6/23/77,518,A
4193500,6/24/77,417,A
4193500,6/25/77,447,A
4193500,6/26/77,336,A
4193500,6/27/77,421,A
4193500,6/28/77,823,A
4193500,6/29/77,1180,A
4193500,6/30/77,713,A
4193500,7/1/77,6390,A
4193500,7/2/77,11500,A
4193500,7/3/77,9250,A
4193500,7/4/77,5990,A
4193500,7/5/77,4110,A
4193500,7/6/77,2760,A
4193500,7/7/77,2130,A
4193500,7/8/77,1500,A
4193500,7/9/77,1160,A
4193500,7/10/77,983,A
4193500,7/11/77,965,A
4193500,7/12/77,934,A
4193500,7/13/77,821,A
4193500,7/14/77,866,A
4193500,7/15/77,798,A
4193500,7/16/77,654,A
4193500,7/17/77,662,A
4193500,7/18/77,524,A
4193500,7/19/77,515,A
4193500,7/20/77,597,A
4193500,7/21/77,899,A
4193500,7/22/77,1190,A
4193500,7/23/77,1000,A
4193500,7/24/77,662,A
4193500,7/25/77,596,A
4193500,7/26/77,439,A
4193500,7/27/77,445,A
4193500,7/28/77,388,A
4193500,7/29/77,404,A
4193500,7/30/77,398,A
4193500,7/31/77,415,A
4193500,8/1/77,330,A
4193500,8/2/77,287,A
4193500,8/3/77,299,A
4193500,8/4/77,276,A
4193500,8/5/77,322,A
4193500,8/6/77,1550,A
4193500,8/7/77,1620,A
4193500,8/8/77,1380,A
4193500,8/9/77,1850,A
4193500,8/10/77,1650,A
4193500,8/11/77,1690,A
4193500,8/12/77,3010,A
4193500,8/13/77,4160,A
4193500,8/14/77,3880,A
4193500,8/15/77,2610,A
4193500,8/16/77,1900,A
4193500,8/17/77,2050,A
4193500,8/18/77,1940,A
